col,sigma_c,no_transform_PR,scaling_PR,rht_PR,learned_llama_PR,learned_gauss_PR,random_init_PR
25,0.1079624,1.0,1.0,16.0,5.137548446655273,10.712271690368652,10.116325378417969
26,0.009468529,1.0,1.0,16.0,12.733146667480469,10.010384559631348,10.16177749633789
27,1.3913236,1.0,1.0,16.0,5.7547831535339355,10.679821014404297,11.64586067199707
28,1.6560479,1.0,1.0,16.0,9.750185012817383,10.8683500289917,10.594993591308594
29,2.6352942,1.0,1.0,16.0,6.444213390350342,9.532946586608887,11.536169052124023
30,0.011084882,1.0,1.0,16.0,9.99382209777832,10.94521427154541,10.904495239257812
31,0.9198879,1.0,1.0,16.0,8.996805191040039,11.36085319519043,10.378890991210938
32,0.82085305,1.0,1.0,16.0,7.536938190460205,9.817874908447266,10.709243774414062
33,1.0989004,1.0,1.0,16.0,5.207056999206543,13.013803482055664,10.844217300415039
34,1.4276985,1.0,1.0,16.0,5.781825542449951,9.97854232788086,11.049659729003906
35,0.81796193,1.0,1.0,16.0,8.397730827331543,8.554337501525879,10.641349792480469
36,0.8734619,1.0,1.0,16.0,7.789687633514404,11.221052169799805,10.770952224731445
37,0.9842649,1.0,1.0,16.0,8.300711631774902,11.102508544921875,10.81423568725586
38,0.6767496,1.0,1.0,16.0,6.411755084991455,11.541521072387695,10.463356018066406
39,2.283689,1.0,1.0,16.0,5.128645896911621,11.329326629638672,11.71586799621582
40,0.011173241,1.0,1.0,16.0,9.437273979187012,10.704039573669434,10.68786334991455
41,0.01502994,1.0,1.0,16.0,5.146177768707275,10.722326278686523,10.086003303527832
42,1.5377614,1.0,1.0,16.0,12.732345581054688,9.961419105529785,9.962459564208984
43,0.9386797,1.0,1.0,16.0,5.754952430725098,10.662185668945312,11.417110443115234
44,0.5961599,1.0,1.0,16.0,9.746403694152832,10.896649360656738,10.479045867919922
45,1.7057531,1.0,1.0,16.0,6.441040515899658,9.556821823120117,11.451637268066406
46,0.15965371,1.0,1.0,16.0,9.992867469787598,10.957016944885254,10.884145736694336
47,0.024862524,1.0,1.0,16.0,8.998645782470703,11.344978332519531,10.279274940490723
48,0.7009541,1.0,1.0,16.0,7.527872562408447,9.811442375183105,10.596848487854004
49,0.70964617,1.0,1.0,16.0,5.19321346282959,13.025089263916016,10.570940017700195
50,1.8788632,1.0,1.0,16.0,5.768929481506348,9.983808517456055,10.786066055297852
51,0.014497109,1.0,1.0,16.0,8.395259857177734,8.545024871826172,10.958131790161133
52,1.5870273,1.0,1.0,16.0,7.800417900085449,11.216569900512695,10.545526504516602
53,1.493398,1.0,1.0,16.0,8.314861297607422,11.094927787780762,11.193181037902832
54,0.4303798,1.0,1.0,16.0,6.407403469085693,11.555070877075195,10.522192001342773
55,0.21650971,1.0,1.0,16.0,5.119513511657715,11.324156761169434,11.534662246704102
56,0.88233054,1.0,1.0,16.0,9.430048942565918,10.71132755279541,10.546586990356445
57,0.8240717,1.0,1.0,16.0,5.130463600158691,10.72992992401123,10.059831619262695
58,0.73088723,1.0,1.0,16.0,12.733630180358887,9.943290710449219,10.295204162597656
59,1.5930427,1.0,1.0,16.0,5.741519451141357,10.666086196899414,11.361722946166992
60,0.018371433,1.0,1.0,16.0,9.74985122680664,10.889869689941406,10.569774627685547
61,0.018355297,1.0,1.0,16.0,6.4303765296936035,9.532018661499023,11.66862678527832
62,1.8885758,1.0,1.0,16.0,9.979446411132812,10.955787658691406,11.020756721496582
63,0.14524646,1.0,1.0,16.0,8.990220069885254,11.363664627075195,10.230842590332031
64,1.569745,1.0,1.0,16.0,7.542185306549072,9.797287940979004,10.507972717285156
65,0.016617432,1.0,1.0,16.0,5.188719749450684,13.025880813598633,10.490857124328613
66,0.7329973,1.0,1.0,16.0,5.768975257873535,9.98059368133545,11.291728973388672
67,0.7710441,1.0,1.0,16.0,8.395453453063965,8.544661521911621,11.077971458435059
68,0.07098988,1.0,1.0,16.0,7.796263217926025,11.213603973388672,10.734291076660156
69,0.11129517,1.0,1.0,16.0,8.301233291625977,11.09642219543457,10.788869857788086
70,0.04026927,1.0,1.0,16.0,6.414811134338379,11.55424690246582,10.576264381408691
